scaler,method,k,n_components,n_neighbors,min_dist,metric,bic,aic,silhouette,calinski_harabasz,davies_bouldin
Quantile (uniform),KMeans,2,3,8,0.2,euclidean,,,0.3653193712234497,1484.5196533203125,1.171364311081835
Quantile (uniform),GMM,3,3,8,0.2,euclidean,36634.80287545471,36468.16015625,0.4088623523712158,1666.7237548828125,0.8739423975173689
Quantile (uniform),KMeans,3,3,8,0.2,euclidean,,,0.4143233895301819,1711.3956298828125,0.8711538209044516
Quantile (uniform),GMM,4,3,8,0.2,euclidean,35818.07447582702,35593.96875,0.39290714263916016,1610.538330078125,0.8803419134282324
Quantile (uniform),KMeans,4,3,8,0.2,euclidean,,,0.4087306261062622,1726.212890625,0.9420241316976097
Quantile (uniform),GMM,5,3,8,0.2,euclidean,35393.12341994934,35111.5546875,0.32234451174736023,1187.315185546875,1.0984814366800977
Quantile (uniform),KMeans,5,3,8,0.2,euclidean,,,0.3739549219608307,1551.486328125,0.9882040532330482
Quantile (uniform),GMM,6,3,8,0.2,euclidean,34770.54736407165,34431.515625,0.304080605506897,1043.70068359375,1.1987051094394203
Quantile (uniform),KMeans,6,3,8,0.2,euclidean,,,0.37647685408592224,1539.580322265625,1.0110166818015143
Quantile (uniform),GMM,7,3,8,0.2,euclidean,34327.11974569397,33930.625,0.33128663897514343,1147.634033203125,1.3072694513793197
Quantile (uniform),KMeans,7,3,8,0.2,euclidean,,,0.3579443693161011,1392.7451171875,1.0602438937669887
Quantile (uniform),GMM,2,3,15,0.01,correlation,32125.109400082398,32015.9296875,0.44633445143699646,2244.5751953125,0.9158628267494955
Quantile (uniform),KMeans,2,3,15,0.01,correlation,,,0.4588163495063782,2547.6279296875,0.8937424119981942
Quantile (uniform),GMM,3,3,15,0.01,correlation,31632.146625454712,31465.50390625,0.3435519337654114,1819.305908203125,1.1011279315256848
Quantile (uniform),KMeans,3,3,15,0.01,correlation,,,0.3744548559188843,2109.151123046875,1.0359281858787324
Quantile (uniform),GMM,4,3,15,0.01,correlation,30600.937757077027,30376.83203125,0.3502461612224579,1702.603759765625,1.003806771487095
Quantile (uniform),KMeans,4,3,15,0.01,correlation,,,0.36554428935050964,1762.16796875,1.0437583905575516
Quantile (uniform),GMM,5,3,15,0.01,correlation,29206.20154494934,28924.6328125,0.395692378282547,1905.5830078125,1.0113587436433151
Quantile (uniform),KMeans,5,3,15,0.01,correlation,,,0.4043169319629669,2082.63134765625,0.982077118080545
Quantile (uniform),GMM,6,3,15,0.01,correlation,28705.145020321655,28366.11328125,0.3894093930721283,1809.3326416015625,1.0838197490328323
Quantile (uniform),KMeans,6,3,15,0.01,correlation,,,0.4113912284374237,1945.2999267578125,1.0023065963762257
Quantile (uniform),GMM,7,3,15,0.01,correlation,27906.55333944397,27510.05859375,0.36227932572364807,1699.7039794921875,1.1718230322121983
Quantile (uniform),KMeans,7,3,15,0.01,correlation,,,0.41240498423576355,2041.634765625,1.0129000548197193
Quantile (uniform),GMM,2,3,15,0.01,euclidean,31461.900415707398,31352.720703125,0.45998531579971313,2393.58984375,0.9232763648508168
Quantile (uniform),KMeans,2,3,15,0.01,euclidean,,,0.45998531579971313,2393.58984375,0.9232763648508168
Quantile (uniform),GMM,3,3,15,0.01,euclidean,30788.463031704712,30621.8203125,0.3824242651462555,1819.4918212890625,0.9802954457016219
Quantile (uniform),KMeans,3,3,15,0.01,euclidean,,,0.3869779407978058,1961.079345703125,0.988229914764184
Quantile (uniform),GMM,4,3,15,0.01,euclidean,29512.820569577027,29288.71484375,0.42179298400878906,2348.606201171875,0.9490178084650425
Quantile (uniform),KMeans,4,3,15,0.01,euclidean,,,0.42910680174827576,2409.994873046875,0.920982662070537
Quantile (uniform),GMM,5,3,15,0.01,euclidean,28817.51990432434,28535.951171875,0.41426146030426025,2197.15576171875,0.8514511497725321
Quantile (uniform),KMeans,5,3,15,0.01,euclidean,,,0.43364059925079346,2400.302734375,0.8350761553815612
Quantile (uniform),GMM,6,3,15,0.01,euclidean,28079.254395321655,27740.22265625,0.35022100806236267,1786.9927978515625,1.0279911847047256
Quantile (uniform),KMeans,6,3,15,0.01,euclidean,,,0.42566707730293274,2236.03857421875,0.9048864350627541
Quantile (uniform),GMM,7,3,15,0.01,euclidean,27440.61779256897,27044.123046875,0.32278305292129517,1730.8671875,1.130425058788744
Quantile (uniform),KMeans,7,3,15,0.01,euclidean,,,0.4171610176563263,2294.296142578125,0.9893827428661481
Quantile (uniform),GMM,2,3,15,0.1,correlation,32172.738306332398,32063.55859375,0.4087073802947998,2036.6070556640625,1.0009395215345276
Quantile (uniform),KMeans,2,3,15,0.1,correlation,,,0.427519828081131,2259.7353515625,0.9638985702639948
Quantile (uniform),GMM,3,3,15,0.1,correlation,31303.437641079712,31136.794921875,0.4126006066799164,1895.8759765625,0.9066827320419918
Quantile (uniform),KMeans,3,3,15,0.1,correlation,,,0.41854339838027954,1951.2115478515625,0.8980004870876995
Quantile (uniform),GMM,4,3,15,0.1,correlation,30180.006116452027,29955.900390625,0.37577930092811584,1875.805908203125,1.005996365522459
Quantile (uniform),KMeans,4,3,15,0.1,correlation,,,0.39684155583381653,2077.16015625,0.9551787656406174
Quantile (uniform),GMM,5,3,15,0.1,correlation,29858.10584182434,29576.537109375,0.34857243299484253,1649.009765625,0.9717514447975425
Quantile (uniform),KMeans,5,3,15,0.1,correlation,,,0.3816578686237335,1992.4970703125,0.9066210602668756
Quantile (uniform),GMM,6,3,15,0.1,correlation,29243.953614071655,28904.921875,0.3198578357696533,1657.4564208984375,1.2374741213986804
Quantile (uniform),KMeans,6,3,15,0.1,correlation,,,0.3536485731601715,1858.86328125,1.0751853397681435
Quantile (uniform),GMM,7,3,15,0.1,correlation,29148.42052694397,28751.92578125,0.28656309843063354,1298.7476806640625,1.1559185014857982
Quantile (uniform),KMeans,7,3,15,0.1,correlation,,,0.3391321897506714,1717.6939697265625,0.9942025656505881
Quantile (uniform),GMM,2,3,15,0.1,euclidean,31560.753931332398,31451.57421875,0.4228532612323761,2008.79638671875,1.005760844556685
Quantile (uniform),KMeans,2,3,15,0.1,euclidean,,,0.4285748302936554,2102.427490234375,0.9953538008290423
Quantile (uniform),GMM,3,3,15,0.1,euclidean,31243.683734829712,31077.041015625,0.34760811924934387,1473.6458740234375,1.0169934564629266
Quantile (uniform),KMeans,3,3,15,0.1,euclidean,,,0.3509218096733093,1554.5400390625,1.0890448238316874
Quantile (uniform),GMM,4,3,15,0.1,euclidean,30289.226819577027,30065.12109375,0.3938140273094177,1969.30712890625,0.9933388412510322
Quantile (uniform),KMeans,4,3,15,0.1,euclidean,,,0.4049389362335205,2056.094970703125,0.9659560629912987
Quantile (uniform),GMM,5,3,15,0.1,euclidean,29811.49256057434,29529.923828125,0.33997073769569397,1477.7313232421875,1.0676917187008839
Quantile (uniform),KMeans,5,3,15,0.1,euclidean,,,0.3734031021595001,1847.689697265625,0.9446553609761743
Quantile (uniform),GMM,6,3,15,0.1,euclidean,29159.496582821655,28820.46484375,0.32355785369873047,1318.792236328125,0.9634509881758172
Quantile (uniform),KMeans,6,3,15,0.1,euclidean,,,0.3809899687767029,1698.26171875,0.9322575226414967
Quantile (uniform),GMM,7,3,15,0.1,euclidean,28681.71544881897,28285.220703125,0.3785267472267151,1648.815673828125,0.9245746192606791
Quantile (uniform),KMeans,7,3,15,0.1,euclidean,,,0.39612334966659546,1759.4769287109375,0.9348573475907122
Quantile (uniform),GMM,2,3,15,0.2,correlation,32282.322290707398,32173.142578125,0.39076849818229675,1778.87939453125,1.079685124364181
Quantile (uniform),KMeans,2,3,15,0.2,correlation,,,0.39652037620544434,1837.4678955078125,1.0631057517971698
Quantile (uniform),GMM,3,3,15,0.2,correlation,31639.892719204712,31473.25,0.2840920388698578,1283.1536865234375,1.3499849015162075
Quantile (uniform),KMeans,3,3,15,0.2,correlation,,,0.2990342378616333,1355.8673095703125,1.3102081987797412
Quantile (uniform),GMM,4,3,15,0.2,correlation,31060.717053952027,30836.611328125,0.35075461864471436,1635.76318359375,1.0982091264486566
Quantile (uniform),KMeans,4,3,15,0.2,correlation,,,0.36332762241363525,1706.3685302734375,1.0691285785048577
Quantile (uniform),GMM,5,3,15,0.2,correlation,30763.71326369934,30482.14453125,0.3545721769332886,1554.59375,0.9994920976279953
Quantile (uniform),KMeans,5,3,15,0.2,correlation,,,0.3507896065711975,1596.9267578125,0.9923685857337168
Quantile (uniform),GMM,6,3,15,0.2,correlation,29818.006348446655,29478.974609375,0.26655539870262146,1175.5120849609375,1.1705016206254852
Quantile (uniform),KMeans,6,3,15,0.2,correlation,,,0.3049358129501343,1444.3570556640625,1.096091345227829
Quantile (uniform),GMM,7,3,15,0.2,correlation,29492.75646444397,29096.26171875,0.33134615421295166,1407.9254150390625,1.0727596029641477
Quantile (uniform),KMeans,7,3,15,0.2,correlation,,,0.3590053915977478,1603.5572509765625,0.9995322128810304
Quantile (uniform),GMM,2,3,15,0.2,euclidean,31828.896509457398,31719.716796875,0.3750423789024353,1613.2264404296875,1.131429915540417
Quantile (uniform),KMeans,2,3,15,0.2,euclidean,,,0.3792356848716736,1651.4266357421875,1.1242804367424826
Quantile (uniform),GMM,3,3,15,0.2,euclidean,31062.330219204712,30895.6875,0.3893173635005951,1583.371826171875,0.9708567983500083
Quantile (uniform),KMeans,3,3,15,0.2,euclidean,,,0.31806638836860657,1293.1082763671875,1.2072788300078148
Quantile (uniform),GMM,4,3,15,0.2,euclidean,30843.367444577027,30619.26171875,0.3741506338119507,1669.17431640625,1.0186288073488037
Quantile (uniform),KMeans,4,3,15,0.2,euclidean,,,0.3800150752067566,1705.427490234375,1.0014326994477196
Quantile (uniform),GMM,5,3,15,0.2,euclidean,30338.89099807434,30057.322265625,0.3421880006790161,1379.5340576171875,1.136236425430298
Quantile (uniform),KMeans,5,3,15,0.2,euclidean,,,0.35372209548950195,1447.6583251953125,1.1075860803247386
Quantile (uniform),GMM,6,3,15,0.2,euclidean,29920.324707821655,29581.29296875,0.32184648513793945,1301.3763427734375,1.1057001726521882
Quantile (uniform),KMeans,6,3,15,0.2,euclidean,,,0.3556390106678009,1445.9842529296875,1.010343516627228
Quantile (uniform),GMM,7,3,15,0.2,euclidean,29633.76818319397,29237.2734375,0.3300446569919586,1257.2867431640625,0.9710484682397575
Quantile (uniform),KMeans,7,3,15,0.2,euclidean,,,0.3502124845981598,1390.4501953125,0.9934484741474444
Quantile (uniform),GMM,2,3,30,0.01,correlation,28021.287134457398,27912.107421875,0.4582553207874298,2557.90576171875,0.8820713071098123
Quantile (uniform),KMeans,2,3,30,0.01,correlation,,,0.46615859866142273,2715.288330078125,0.8454827043895867
Quantile (uniform),GMM,3,3,30,0.01,correlation,27240.244281704712,27073.6015625,0.3722010850906372,2205.5087890625,1.2051739619119568
Quantile (uniform),KMeans,3,3,30,0.01,correlation,,,0.39584416151046753,2382.594482421875,1.0595089849735744
Quantile (uniform),GMM,4,3,30,0.01,correlation,25705.504163327027,25481.3984375,0.3571922481060028,2041.18359375,0.9463369062681437
Quantile (uniform),KMeans,4,3,30,0.01,correlation,,,0.4209457039833069,2549.099853515625,0.919309187185411
Quantile (uniform),GMM,5,3,30,0.01,correlation,25399.73670119934,25118.16796875,0.3888619840145111,2341.3759765625,0.9281187736562828
Quantile (uniform),KMeans,5,3,30,0.01,correlation,,,0.4055134057998657,2521.10205078125,0.8812924806460526
Quantile (uniform),GMM,6,3,30,0.01,correlation,24848.836426571655,24509.8046875,0.3989313840866089,2268.618896484375,0.8972889120263704
Quantile (uniform),KMeans,6,3,30,0.01,correlation,,,0.4149920344352722,2537.63134765625,0.8523730654596782
Quantile (uniform),GMM,7,3,30,0.01,correlation,23912.91271444397,23516.41796875,0.3098628520965576,1848.2437744140625,1.1409882785951375
Quantile (uniform),KMeans,7,3,30,0.01,correlation,,,0.41990599036216736,2548.3896484375,0.8687639291752932
Quantile (uniform),GMM,2,3,30,0.01,euclidean,26668.234400082398,26559.0546875,0.4517364203929901,2464.3857421875,0.898890491528275
Quantile (uniform),KMeans,2,3,30,0.01,euclidean,,,0.451141893863678,2574.1904296875,0.898564192043597
Quantile (uniform),GMM,3,3,30,0.01,euclidean,25652.560687954712,25485.91796875,0.4024791121482849,2216.053955078125,0.9382959498439264
Quantile (uniform),KMeans,3,3,30,0.01,euclidean,,,0.4152543246746063,2370.724609375,0.9268651573440453
Quantile (uniform),GMM,4,3,30,0.01,euclidean,24675.496350827027,24451.390625,0.33039620518684387,1891.78564453125,1.1376502619568603
Quantile (uniform),KMeans,4,3,30,0.01,euclidean,,,0.38158807158470154,2084.069091796875,0.9415793572205337
Quantile (uniform),GMM,5,3,30,0.01,euclidean,24364.23865432434,24082.669921875,0.3795202374458313,2241.4775390625,0.9364194623839323
Quantile (uniform),KMeans,5,3,30,0.01,euclidean,,,0.4035891592502594,2472.797119140625,0.9314228264161544
Quantile (uniform),GMM,6,3,30,0.01,euclidean,23619.113770321655,23280.08203125,0.3698439300060272,2071.2841796875,0.9451335620520651
Quantile (uniform),KMeans,6,3,30,0.01,euclidean,,,0.3978152275085449,2293.215087890625,0.9333461470809317
Quantile (uniform),GMM,7,3,30,0.01,euclidean,22994.77208944397,22598.27734375,0.3658390939235687,2009.97412109375,1.0870112756589287
Quantile (uniform),KMeans,7,3,30,0.01,euclidean,,,0.4225040376186371,2326.1044921875,0.8896271491964628
Quantile (uniform),GMM,2,3,30,0.1,correlation,27457.968775082398,27348.7890625,0.3283204734325409,1491.2120361328125,1.1433391506919524
Quantile (uniform),KMeans,2,3,30,0.1,correlation,,,0.45618736743927,2720.81298828125,0.8606985840024411
Quantile (uniform),GMM,3,3,30,0.1,correlation,27561.267719204712,27394.625,0.35794246196746826,1962.1304931640625,1.1926072404676746
Quantile (uniform),KMeans,3,3,30,0.1,correlation,,,0.3652355968952179,2048.016357421875,1.1473400951320383
Quantile (uniform),GMM,4,3,30,0.1,correlation,25995.801038327027,25771.6953125,0.3130839169025421,1669.799072265625,1.1061256848668881
Quantile (uniform),KMeans,4,3,30,0.1,correlation,,,0.3624911904335022,2187.034423828125,1.018077752749179
Quantile (uniform),GMM,5,3,30,0.1,correlation,25821.45935744934,25539.890625,0.35201308131217957,1992.159423828125,0.9668239685812052
Quantile (uniform),KMeans,5,3,30,0.1,correlation,,,0.37538379430770874,2229.724365234375,0.9079284838186314
Quantile (uniform),GMM,6,3,30,0.1,correlation,25597.723145321655,25258.69140625,0.3498218357563019,1897.298828125,0.8729374098438579
Quantile (uniform),KMeans,6,3,30,0.1,correlation,,,0.38268619775772095,2081.251708984375,0.8300594989400712
Quantile (uniform),GMM,7,3,30,0.1,correlation,25725.54943319397,25329.0546875,0.35498225688934326,1951.4932861328125,0.9121271171869009
Quantile (uniform),KMeans,7,3,30,0.1,correlation,,,0.3706202507019043,2063.96533203125,0.9009830033097848
Quantile (uniform),GMM,2,3,30,0.1,euclidean,26746.625025082398,26637.4453125,0.38918083906173706,1856.54736328125,0.9876236047333589
Quantile (uniform),KMeans,2,3,30,0.1,euclidean,,,0.41382548213005066,2105.272216796875,0.9867033412010616
Quantile (uniform),GMM,3,3,30,0.1,euclidean,26156.107562954712,25989.46484375,0.3676854968070984,1825.3377685546875,1.0091721176351849
Quantile (uniform),KMeans,3,3,30,0.1,euclidean,,,0.3691674470901489,1846.269287109375,1.0163582378724063
Quantile (uniform),GMM,4,3,30,0.1,euclidean,25353.998303952027,25129.892578125,0.3756268620491028,1833.176025390625,0.9550623236519143
Quantile (uniform),KMeans,4,3,30,0.1,euclidean,,,0.39091044664382935,1962.4466552734375,0.945217481943021
Quantile (uniform),GMM,5,3,30,0.1,euclidean,25018.21131057434,24736.642578125,0.3467608094215393,1782.836669921875,0.98558425322272
Quantile (uniform),KMeans,5,3,30,0.1,euclidean,,,0.3899383842945099,2083.794921875,0.916508310148712
Quantile (uniform),GMM,6,3,30,0.1,euclidean,24629.318848446655,24290.287109375,0.3086196482181549,1511.8453369140625,1.120610698616929
Quantile (uniform),KMeans,6,3,30,0.1,euclidean,,,0.37164145708084106,1913.040771484375,0.9688929291361701
Quantile (uniform),GMM,7,3,30,0.1,euclidean,23994.00255819397,23597.5078125,0.2920505702495575,1398.30322265625,1.1110749450090998
Quantile (uniform),KMeans,7,3,30,0.1,euclidean,,,0.36852318048477173,1931.328857421875,0.9443502562717726
Quantile (uniform),GMM,2,3,30,0.2,correlation,28320.619165707398,28211.439453125,0.40507346391677856,2033.8115234375,1.0091616397802454
Quantile (uniform),KMeans,2,3,30,0.2,correlation,,,0.41970083117485046,2167.582275390625,0.9728738003281904
Quantile (uniform),GMM,3,3,30,0.2,correlation,27579.355609829712,27412.712890625,0.32446104288101196,1607.09814453125,1.1744998912806357
Quantile (uniform),KMeans,3,3,30,0.2,correlation,,,0.33127516508102417,1679.5635986328125,1.1520010122224813
Quantile (uniform),GMM,4,3,30,0.2,correlation,27146.250257077027,26922.14453125,0.33160528540611267,1582.3634033203125,1.0950989586146136
Quantile (uniform),KMeans,4,3,30,0.2,correlation,,,0.3474574387073517,1686.69384765625,1.0183131558581775
Quantile (uniform),GMM,5,3,30,0.2,correlation,26629.80701369934,26348.23828125,0.34094417095184326,1680.998291015625,1.029240456714516
Quantile (uniform),KMeans,5,3,30,0.2,correlation,,,0.3576466143131256,1813.455810546875,1.001120672728519
Quantile (uniform),GMM,6,3,30,0.2,correlation,26340.344239071655,26001.3125,0.35703328251838684,1760.5936279296875,0.8983518166763944
Quantile (uniform),KMeans,6,3,30,0.2,correlation,,,0.37200668454170227,1853.022705078125,0.9287943753552295
Quantile (uniform),GMM,7,3,30,0.2,correlation,26131.31505819397,25734.8203125,0.3182222843170166,1363.718505859375,1.171524271338243
Quantile (uniform),KMeans,7,3,30,0.2,correlation,,,0.34859827160835266,1681.9744873046875,0.972205235897727
Quantile (uniform),GMM,2,3,30,0.2,euclidean,26953.187525082398,26844.0078125,0.3739323914051056,1766.160400390625,1.0160198655884984
Quantile (uniform),KMeans,2,3,30,0.2,euclidean,,,0.4034123420715332,2032.909423828125,1.0051510942767512
Quantile (uniform),GMM,3,3,30,0.2,euclidean,26489.963031704712,26323.3203125,0.3344683349132538,1559.2586669921875,1.094840764550966
Quantile (uniform),KMeans,3,3,30,0.2,euclidean,,,0.34994301199913025,1708.75634765625,1.0961328611744745
Quantile (uniform),GMM,4,3,30,0.2,euclidean,26010.635022702027,25786.529296875,0.3200604021549225,1448.736083984375,1.0778906140544704
Quantile (uniform),KMeans,4,3,30,0.2,euclidean,,,0.3619188070297241,1705.5811767578125,1.0141008414520916
Quantile (uniform),GMM,5,3,30,0.2,euclidean,25568.14685744934,25286.578125,0.3455934524536133,1738.744873046875,0.994498002843667
Quantile (uniform),KMeans,5,3,30,0.2,euclidean,,,0.3654044270515442,1888.8206787109375,0.9679378531360102
Quantile (uniform),GMM,6,3,30,0.2,euclidean,25321.160645321655,24982.12890625,0.32993897795677185,1569.3250732421875,1.0136634169925578
Quantile (uniform),KMeans,6,3,30,0.2,euclidean,,,0.3535066246986389,1723.03076171875,0.9713540742948611
Quantile (uniform),GMM,7,3,30,0.2,euclidean,25048.04552694397,24651.55078125,0.30339428782463074,1322.4749755859375,1.1915579123414448
Quantile (uniform),KMeans,7,3,30,0.2,euclidean,,,0.35319432616233826,1643.3538818359375,1.0330845079026942
Quantile (uniform),GMM,2,5,8,0.01,correlation,54065.69207715149,53830.09375,0.2971669137477875,922.0733642578125,1.514113294018033
Quantile (uniform),KMeans,2,5,8,0.01,correlation,,,0.2979811728000641,930.359375,1.4939750532891423
Quantile (uniform),GMM,3,5,8,0.01,correlation,51341.93860980835,50985.66796875,0.34007829427719116,964.7093505859375,1.074895423567363
Quantile (uniform),KMeans,3,5,8,0.01,correlation,,,0.34221935272216797,973.5138549804688,1.0934744203522786
Quantile (uniform),GMM,4,5,8,0.01,correlation,48169.43514246521,47692.4921875,0.4163183569908142,1239.0997314453125,0.9667253822898796
Quantile (uniform),KMeans,4,5,8,0.01,correlation,,,0.42003750801086426,1258.5557861328125,0.9565582961793369
