iteration,scaler,n_features,features,n_clusters,silhouette,calinski_harabasz,davies_bouldin
169,Robust,7,"['commod_trend_strength', 'eq_idx_macd_diff_mean', 'sector_momentum_dispersion', 'eq_idx_ret5d_mean', 'glob_eq_rsi_mean', 'commod_momentum_slope', 'glob_eq_vol_skew']",4,0.4098814129829407,2216.714111328125,0.8919587937949816
186,Standard,5,"['commod_trend_strength', 'commod_momentum_slope', 'rsi_diff_qqq_spy', 'sector_momentum_dispersion', 'usd_vs_fxe_fxy_trend']",4,0.40944191813468933,2479.07177734375,0.9762061786548887
159,Standard,7,"['sector_momentum_dispersion', 'eq_idx_ret5d_mean', 'commod_trend_strength', 'commod_momentum_slope', 'usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std', 'sector_ma_ratio_spread']",3,0.4090542197227478,2518.17919921875,0.9257783287817091
35,Robust,10,"['eq_idx_ret5d_mean', 'sector_ma_ratio_spread', 'sector_momentum_dispersion', 'glob_eq_ret20d_std', 'glob_eq_rsi_mean', 'commod_trend_strength', 'macd_diff_lqd_spy', 'glob_eq_vol_skew', 'commod_momentum_slope', 'rsi_diff_qqq_spy']",4,0.4090184271335602,1682.1201171875,0.9748835255057386
177,Robust,9,"['glob_eq_ret20d_std', 'sector_ma_ratio_spread', 'eq_idx_ret5d_mean', 'glob_eq_rsi_mean', 'glob_eq_vol_skew', 'rsi_diff_qqq_spy', 'eq_idx_macd_diff_mean', 'sector_momentum_dispersion', 'commod_momentum_slope']",3,0.4089704155921936,1678.584228515625,0.871234742197807
163,Standard,8,"['usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std', 'eq_idx_macd_diff_mean', 'commod_trend_strength', 'eq_idx_ret5d_mean', 'sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'commod_momentum_slope']",3,0.4087721109390259,2261.64013671875,1.2401709895256279
185,Robust,10,"['glob_eq_rsi_mean', 'glob_eq_vol_skew', 'commod_trend_strength', 'rsi_diff_qqq_spy', 'usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std', 'eq_idx_ret5d_mean', 'macd_diff_lqd_spy', 'sector_ma_ratio_spread', 'eq_idx_macd_diff_mean']",4,0.4087623655796051,1756.36083984375,0.9569327621772086
9,Robust,6,"['commod_trend_strength', 'usd_vs_fxe_fxy_trend', 'glob_eq_vol_skew', 'rsi_diff_qqq_spy', 'sector_ma_ratio_spread', 'glob_eq_ret20d_std']",3,0.4087088108062744,1932.0892333984375,1.069785284243329
96,Standard,6,"['macd_diff_lqd_spy', 'eq_idx_macd_diff_mean', 'glob_eq_vol_skew', 'commod_momentum_slope', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend']",4,0.4085184633731842,1754.251220703125,0.8614709184637658
77,Robust,5,"['usd_vs_fxe_fxy_trend', 'commod_momentum_slope', 'glob_eq_rsi_mean', 'eq_idx_ret5d_mean', 'glob_eq_ret20d_std']",4,0.4085066318511963,1918.4537353515625,0.9227316171033341
166,Robust,8,"['macd_diff_lqd_spy', 'commod_trend_strength', 'commod_momentum_slope', 'eq_idx_macd_diff_mean', 'glob_eq_vol_skew', 'glob_eq_rsi_mean', 'glob_eq_ret20d_std', 'eq_idx_ret5d_mean']",4,0.4082035720348358,1790.15869140625,1.0026043375227793
2,Standard,5,"['macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend', 'commod_momentum_slope', 'glob_eq_rsi_mean']",4,0.4081127345561981,1866.734130859375,0.9727886270970509
23,Standard,7,"['sector_ma_ratio_spread', 'glob_eq_vol_skew', 'eq_idx_ret5d_mean', 'commod_momentum_slope', 'eq_idx_macd_diff_mean', 'rsi_diff_qqq_spy', 'glob_eq_rsi_mean']",3,0.4080905616283417,1629.2623291015625,0.929291268166141
156,Standard,9,"['commod_trend_strength', 'glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'glob_eq_ret20d_std', 'sector_momentum_dispersion', 'glob_eq_vol_skew', 'eq_idx_ret5d_mean', 'eq_idx_macd_diff_mean', 'commod_momentum_slope']",3,0.4079885184764862,1603.471435546875,0.9478186267514297
154,Standard,6,"['sector_ma_ratio_spread', 'eq_idx_ret5d_mean', 'glob_eq_rsi_mean', 'usd_vs_fxe_fxy_trend', 'macd_diff_lqd_spy', 'glob_eq_vol_skew']",4,0.4078059494495392,1793.842041015625,1.1136490700813637
82,Standard,6,"['macd_diff_lqd_spy', 'sector_ma_ratio_spread', 'usd_vs_fxe_fxy_trend', 'eq_idx_macd_diff_mean', 'glob_eq_vol_skew', 'eq_idx_ret5d_mean']",4,0.4077593684196472,1504.72998046875,0.8411440052077932
154,Robust,6,"['sector_ma_ratio_spread', 'eq_idx_ret5d_mean', 'glob_eq_rsi_mean', 'usd_vs_fxe_fxy_trend', 'macd_diff_lqd_spy', 'glob_eq_vol_skew']",3,0.40760156512260437,1525.37744140625,1.0196816744660302
119,Robust,5,"['commod_trend_strength', 'macd_diff_lqd_spy', 'glob_eq_ret20d_std', 'rsi_diff_qqq_spy', 'sector_momentum_dispersion']",3,0.4073387682437897,1514.9365234375,0.8428638438252706
141,Robust,7,"['sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'glob_eq_rsi_mean', 'sector_momentum_dispersion', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'glob_eq_vol_skew']",3,0.4071168601512909,1358.0501708984375,0.8635115659001308
9,Standard,6,"['commod_trend_strength', 'usd_vs_fxe_fxy_trend', 'glob_eq_vol_skew', 'rsi_diff_qqq_spy', 'sector_ma_ratio_spread', 'glob_eq_ret20d_std']",4,0.4064854681491852,2901.833740234375,1.0497843867991474
180,Robust,7,"['sector_ma_ratio_spread', 'usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std', 'eq_idx_ret5d_mean', 'commod_momentum_slope', 'glob_eq_vol_skew', 'sector_momentum_dispersion']",4,0.40645238757133484,1811.0670166015625,0.8303923547716373
200,Standard,9,"['commod_trend_strength', 'glob_eq_vol_skew', 'macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'eq_idx_macd_diff_mean', 'rsi_diff_qqq_spy', 'commod_momentum_slope', 'glob_eq_rsi_mean', 'sector_ma_ratio_spread']",3,0.40636032819747925,1708.7554931640625,0.9384112864400621
121,Standard,7,"['commod_trend_strength', 'eq_idx_ret5d_mean', 'glob_eq_rsi_mean', 'commod_momentum_slope', 'rsi_diff_qqq_spy', 'sector_ma_ratio_spread', 'macd_diff_lqd_spy']",3,0.4057122468948364,1655.9871826171875,0.797954896517797
80,Standard,8,"['commod_trend_strength', 'glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'eq_idx_macd_diff_mean', 'sector_ma_ratio_spread', 'glob_eq_ret20d_std', 'sector_momentum_dispersion', 'glob_eq_vol_skew']",4,0.40551120042800903,1979.885009765625,0.8458999213469933
48,Robust,9,"['glob_eq_rsi_mean', 'glob_eq_vol_skew', 'commod_trend_strength', 'sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'usd_vs_fxe_fxy_trend', 'eq_idx_macd_diff_mean', 'glob_eq_ret20d_std', 'eq_idx_ret5d_mean']",3,0.4053570628166199,1483.0458984375,0.9104336288373825
72,Standard,6,"['glob_eq_ret20d_std', 'rsi_diff_qqq_spy', 'commod_momentum_slope', 'glob_eq_rsi_mean', 'eq_idx_ret5d_mean', 'sector_momentum_dispersion']",4,0.4051187336444855,1713.2354736328125,0.8061582495773324
129,Robust,8,"['macd_diff_lqd_spy', 'eq_idx_macd_diff_mean', 'eq_idx_ret5d_mean', 'glob_eq_ret20d_std', 'sector_momentum_dispersion', 'usd_vs_fxe_fxy_trend', 'commod_momentum_slope', 'rsi_diff_qqq_spy']",4,0.4044633209705353,1765.829345703125,0.9225911757024763
172,Standard,6,"['glob_eq_ret20d_std', 'macd_diff_lqd_spy', 'usd_vs_fxe_fxy_trend', 'glob_eq_vol_skew', 'commod_trend_strength', 'glob_eq_rsi_mean']",4,0.4041922092437744,1757.7652587890625,0.8889818492527002
181,Standard,6,"['commod_momentum_slope', 'glob_eq_rsi_mean', 'glob_eq_ret20d_std', 'eq_idx_macd_diff_mean', 'rsi_diff_qqq_spy', 'sector_ma_ratio_spread']",3,0.4034806787967682,1658.2628173828125,0.9250466408397463
90,Robust,9,"['glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'commod_trend_strength', 'usd_vs_fxe_fxy_trend', 'eq_idx_macd_diff_mean', 'sector_momentum_dispersion', 'commod_momentum_slope', 'sector_ma_ratio_spread', 'glob_eq_vol_skew']",4,0.4033854603767395,1658.1929931640625,0.8223081809525785
93,Standard,9,"['commod_momentum_slope', 'glob_eq_vol_skew', 'sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'commod_trend_strength', 'glob_eq_rsi_mean', 'glob_eq_ret20d_std', 'sector_momentum_dispersion']",4,0.4032115638256073,1725.737548828125,0.9206476598537388
74,Standard,9,"['glob_eq_rsi_mean', 'glob_eq_vol_skew', 'sector_momentum_dispersion', 'usd_vs_fxe_fxy_trend', 'macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'commod_trend_strength', 'eq_idx_macd_diff_mean', 'glob_eq_ret20d_std']",3,0.40296563506126404,1632.52001953125,0.9526532201185868
170,Standard,7,"['sector_momentum_dispersion', 'usd_vs_fxe_fxy_trend', 'eq_idx_ret5d_mean', 'eq_idx_macd_diff_mean', 'commod_momentum_slope', 'macd_diff_lqd_spy', 'rsi_diff_qqq_spy']",4,0.40293416380882263,1692.59814453125,0.9831174487650476
35,Robust,10,"['eq_idx_ret5d_mean', 'sector_ma_ratio_spread', 'sector_momentum_dispersion', 'glob_eq_ret20d_std', 'glob_eq_rsi_mean', 'commod_trend_strength', 'macd_diff_lqd_spy', 'glob_eq_vol_skew', 'commod_momentum_slope', 'rsi_diff_qqq_spy']",3,0.4028984308242798,1730.1619873046875,1.0539595984659096
173,Standard,9,"['macd_diff_lqd_spy', 'commod_momentum_slope', 'glob_eq_vol_skew', 'eq_idx_macd_diff_mean', 'sector_momentum_dispersion', 'commod_trend_strength', 'eq_idx_ret5d_mean', 'glob_eq_rsi_mean', 'usd_vs_fxe_fxy_trend']",3,0.4024220407009125,1526.41357421875,0.873838594584697
134,Robust,10,"['commod_momentum_slope', 'rsi_diff_qqq_spy', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend', 'sector_ma_ratio_spread', 'commod_trend_strength', 'glob_eq_vol_skew', 'macd_diff_lqd_spy', 'glob_eq_rsi_mean', 'sector_momentum_dispersion']",3,0.40226688981056213,1328.30810546875,0.9069401286960518
132,Robust,10,"['commod_momentum_slope', 'glob_eq_ret20d_std', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend', 'sector_momentum_dispersion', 'commod_trend_strength', 'glob_eq_vol_skew', 'eq_idx_macd_diff_mean', 'macd_diff_lqd_spy', 'glob_eq_rsi_mean']",4,0.40184858441352844,1421.878662109375,0.8679300650173442
42,Standard,5,"['macd_diff_lqd_spy', 'sector_ma_ratio_spread', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'eq_idx_ret5d_mean']",3,0.40180703997612,1499.2781982421875,1.0113240408939201
61,Robust,7,"['eq_idx_macd_diff_mean', 'commod_momentum_slope', 'rsi_diff_qqq_spy', 'sector_momentum_dispersion', 'commod_trend_strength', 'glob_eq_vol_skew', 'usd_vs_fxe_fxy_trend']",4,0.401706725358963,1684.4945068359375,1.0962654331516417
55,Standard,6,"['eq_idx_macd_diff_mean', 'macd_diff_lqd_spy', 'sector_momentum_dispersion', 'commod_trend_strength', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend']",4,0.40136462450027466,2108.226318359375,0.9973520636514928
32,Standard,6,"['usd_vs_fxe_fxy_trend', 'eq_idx_ret5d_mean', 'glob_eq_ret20d_std', 'glob_eq_vol_skew', 'sector_ma_ratio_spread', 'sector_momentum_dispersion']",3,0.40132829546928406,3056.152587890625,0.9805138504927772
24,Robust,8,"['usd_vs_fxe_fxy_trend', 'rsi_diff_qqq_spy', 'commod_trend_strength', 'sector_ma_ratio_spread', 'commod_momentum_slope', 'sector_momentum_dispersion', 'glob_eq_vol_skew', 'eq_idx_ret5d_mean']",3,0.4011629521846771,1647.6802978515625,0.9921125961047726
68,Robust,6,"['rsi_diff_qqq_spy', 'commod_momentum_slope', 'commod_trend_strength', 'sector_ma_ratio_spread', 'eq_idx_ret5d_mean', 'macd_diff_lqd_spy']",4,0.4010293483734131,1605.20068359375,1.0610928948031284
70,Robust,10,"['sector_ma_ratio_spread', 'glob_eq_ret20d_std', 'rsi_diff_qqq_spy', 'eq_idx_ret5d_mean', 'commod_momentum_slope', 'glob_eq_rsi_mean', 'usd_vs_fxe_fxy_trend', 'sector_momentum_dispersion', 'glob_eq_vol_skew', 'macd_diff_lqd_spy']",3,0.40088552236557007,1466.566650390625,0.9650344571341544
90,Robust,9,"['glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'commod_trend_strength', 'usd_vs_fxe_fxy_trend', 'eq_idx_macd_diff_mean', 'sector_momentum_dispersion', 'commod_momentum_slope', 'sector_ma_ratio_spread', 'glob_eq_vol_skew']",3,0.4003656506538391,1684.8863525390625,0.9405305040495829
83,Standard,6,"['eq_idx_macd_diff_mean', 'sector_ma_ratio_spread', 'commod_trend_strength', 'macd_diff_lqd_spy', 'glob_eq_ret20d_std', 'sector_momentum_dispersion']",3,0.4003508388996124,1706.287353515625,0.986818982887837
93,Robust,9,"['commod_momentum_slope', 'glob_eq_vol_skew', 'sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'commod_trend_strength', 'glob_eq_rsi_mean', 'glob_eq_ret20d_std', 'sector_momentum_dispersion']",3,0.40034183859825134,1374.736572265625,1.058116106830499
106,Robust,9,"['glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'sector_ma_ratio_spread', 'sector_momentum_dispersion', 'glob_eq_vol_skew', 'glob_eq_ret20d_std', 'rsi_diff_qqq_spy', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend']",3,0.3995688855648041,1407.2620849609375,1.0616820947237
10,Robust,9,"['commod_momentum_slope', 'sector_ma_ratio_spread', 'eq_idx_ret5d_mean', 'commod_trend_strength', 'glob_eq_ret20d_std', 'sector_momentum_dispersion', 'rsi_diff_qqq_spy', 'glob_eq_vol_skew', 'macd_diff_lqd_spy']",3,0.3995116055011749,1589.469970703125,0.9402637559189619
62,Standard,8,"['sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std', 'commod_trend_strength', 'glob_eq_rsi_mean', 'eq_idx_ret5d_mean']",4,0.39940810203552246,1838.5552978515625,0.9245537902370646
49,Robust,9,"['commod_momentum_slope', 'macd_diff_lqd_spy', 'glob_eq_vol_skew', 'glob_eq_ret20d_std', 'sector_momentum_dispersion', 'sector_ma_ratio_spread', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'rsi_diff_qqq_spy']",3,0.3989015221595764,1552.833251953125,1.0256146215885846
103,Robust,6,"['eq_idx_ret5d_mean', 'macd_diff_lqd_spy', 'glob_eq_vol_skew', 'usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'rsi_diff_qqq_spy']",4,0.3987640142440796,1474.3004150390625,0.9355592034516309
152,Robust,9,"['glob_eq_vol_skew', 'glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'rsi_diff_qqq_spy', 'eq_idx_macd_diff_mean', 'commod_momentum_slope', 'sector_ma_ratio_spread', 'usd_vs_fxe_fxy_trend', 'eq_idx_ret5d_mean']",4,0.39818206429481506,1378.6978759765625,1.0192504385761014
173,Standard,9,"['macd_diff_lqd_spy', 'commod_momentum_slope', 'glob_eq_vol_skew', 'eq_idx_macd_diff_mean', 'sector_momentum_dispersion', 'commod_trend_strength', 'eq_idx_ret5d_mean', 'glob_eq_rsi_mean', 'usd_vs_fxe_fxy_trend']",4,0.3978431820869446,1552.602294921875,1.0153179637841814
116,Standard,6,"['glob_eq_vol_skew', 'eq_idx_macd_diff_mean', 'glob_eq_ret20d_std', 'rsi_diff_qqq_spy', 'macd_diff_lqd_spy', 'eq_idx_ret5d_mean']",3,0.3976447582244873,2009.8519287109375,0.9748980991572557
128,Robust,5,"['glob_eq_ret20d_std', 'sector_ma_ratio_spread', 'glob_eq_vol_skew', 'macd_diff_lqd_spy', 'commod_momentum_slope']",4,0.39752092957496643,2007.5460205078125,0.9990110811640539
104,Standard,6,"['sector_momentum_dispersion', 'glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'commod_momentum_slope', 'glob_eq_vol_skew', 'eq_idx_macd_diff_mean']",4,0.39738163352012634,1440.5755615234375,1.0117695559344095
44,Robust,5,"['glob_eq_vol_skew', 'sector_ma_ratio_spread', 'glob_eq_ret20d_std', 'eq_idx_macd_diff_mean', 'glob_eq_rsi_mean']",3,0.39735302329063416,1603.330078125,1.0339390018172676
147,Standard,7,"['commod_trend_strength', 'eq_idx_ret5d_mean', 'macd_diff_lqd_spy', 'usd_vs_fxe_fxy_trend', 'sector_momentum_dispersion', 'glob_eq_vol_skew', 'glob_eq_rsi_mean']",4,0.3971463143825531,2540.4326171875,0.8994904835718233
178,Standard,7,"['rsi_diff_qqq_spy', 'glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'commod_trend_strength', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std']",3,0.39701569080352783,1886.8695068359375,1.0691681948729759
107,Standard,9,"['rsi_diff_qqq_spy', 'sector_momentum_dispersion', 'eq_idx_ret5d_mean', 'macd_diff_lqd_spy', 'glob_eq_rsi_mean', 'glob_eq_vol_skew', 'eq_idx_macd_diff_mean', 'glob_eq_ret20d_std', 'usd_vs_fxe_fxy_trend']",4,0.3969687521457672,1572.708740234375,0.8799849848905151
16,Robust,8,"['macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'glob_eq_ret20d_std', 'sector_ma_ratio_spread', 'usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'commod_momentum_slope', 'eq_idx_macd_diff_mean']",3,0.3969546854496002,1801.720458984375,0.9141300418471149
199,Standard,7,"['glob_eq_vol_skew', 'commod_momentum_slope', 'usd_vs_fxe_fxy_trend', 'eq_idx_ret5d_mean', 'rsi_diff_qqq_spy', 'glob_eq_rsi_mean', 'commod_trend_strength']",3,0.39690253138542175,1594.115966796875,0.976536645505059
54,Standard,6,"['glob_eq_ret20d_std', 'glob_eq_rsi_mean', 'commod_momentum_slope', 'commod_trend_strength', 'macd_diff_lqd_spy', 'eq_idx_macd_diff_mean']",4,0.3966437876224518,1959.425048828125,0.9820486342568167
136,Standard,5,"['glob_eq_rsi_mean', 'glob_eq_ret20d_std', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'sector_ma_ratio_spread']",4,0.3963565230369568,1859.0953369140625,0.8485517841380014
116,Robust,6,"['glob_eq_vol_skew', 'eq_idx_macd_diff_mean', 'glob_eq_ret20d_std', 'rsi_diff_qqq_spy', 'macd_diff_lqd_spy', 'eq_idx_ret5d_mean']",4,0.39624547958374023,1947.5523681640625,0.9430232678982342
31,Standard,5,"['usd_vs_fxe_fxy_trend', 'macd_diff_lqd_spy', 'glob_eq_rsi_mean', 'rsi_diff_qqq_spy', 'commod_momentum_slope']",3,0.39616331458091736,1461.46435546875,0.9493744118839759
128,Standard,5,"['glob_eq_ret20d_std', 'sector_ma_ratio_spread', 'glob_eq_vol_skew', 'macd_diff_lqd_spy', 'commod_momentum_slope']",4,0.3955075442790985,1888.672607421875,1.0136782966346713
18,Standard,5,"['glob_eq_rsi_mean', 'sector_momentum_dispersion', 'eq_idx_macd_diff_mean', 'sector_ma_ratio_spread', 'glob_eq_vol_skew']",3,0.39544975757598877,1718.6832275390625,0.9600178562816949
143,Robust,7,"['sector_ma_ratio_spread', 'sector_momentum_dispersion', 'commod_trend_strength', 'glob_eq_rsi_mean', 'usd_vs_fxe_fxy_trend', 'eq_idx_ret5d_mean', 'rsi_diff_qqq_spy']",4,0.3952576816082001,1552.57763671875,0.9193312992397995
28,Robust,9,"['sector_ma_ratio_spread', 'eq_idx_macd_diff_mean', 'sector_momentum_dispersion', 'eq_idx_ret5d_mean', 'rsi_diff_qqq_spy', 'usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'macd_diff_lqd_spy', 'commod_momentum_slope']",3,0.39469724893569946,1750.6575927734375,0.9137198544942171
150,Standard,7,"['macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'glob_eq_ret20d_std', 'sector_momentum_dispersion', 'sector_ma_ratio_spread', 'commod_trend_strength', 'commod_momentum_slope']",3,0.3946845531463623,1738.008544921875,1.0520240101170175
46,Standard,5,"['glob_eq_rsi_mean', 'glob_eq_ret20d_std', 'sector_ma_ratio_spread', 'glob_eq_vol_skew', 'eq_idx_macd_diff_mean']",4,0.3946225345134735,1807.74853515625,1.0412559098494225
119,Standard,5,"['commod_trend_strength', 'macd_diff_lqd_spy', 'glob_eq_ret20d_std', 'rsi_diff_qqq_spy', 'sector_momentum_dispersion']",3,0.39427271485328674,1539.6328125,0.9044208340843255
13,Standard,7,"['eq_idx_ret5d_mean', 'commod_momentum_slope', 'rsi_diff_qqq_spy', 'eq_idx_macd_diff_mean', 'macd_diff_lqd_spy', 'commod_trend_strength', 'usd_vs_fxe_fxy_trend']",4,0.394133597612381,1173.52490234375,1.0767363343501624
80,Robust,8,"['commod_trend_strength', 'glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'eq_idx_macd_diff_mean', 'sector_ma_ratio_spread', 'glob_eq_ret20d_std', 'sector_momentum_dispersion', 'glob_eq_vol_skew']",3,0.3938092291355133,1442.7308349609375,0.9620704735061439
70,Robust,10,"['sector_ma_ratio_spread', 'glob_eq_ret20d_std', 'rsi_diff_qqq_spy', 'eq_idx_ret5d_mean', 'commod_momentum_slope', 'glob_eq_rsi_mean', 'usd_vs_fxe_fxy_trend', 'sector_momentum_dispersion', 'glob_eq_vol_skew', 'macd_diff_lqd_spy']",4,0.393480122089386,1367.2545166015625,0.9304753005616864
28,Robust,9,"['sector_ma_ratio_spread', 'eq_idx_macd_diff_mean', 'sector_momentum_dispersion', 'eq_idx_ret5d_mean', 'rsi_diff_qqq_spy', 'usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'macd_diff_lqd_spy', 'commod_momentum_slope']",4,0.3932912051677704,1543.8756103515625,1.1575945673780739
3,Robust,8,"['eq_idx_macd_diff_mean', 'commod_momentum_slope', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'glob_eq_rsi_mean', 'glob_eq_vol_skew', 'macd_diff_lqd_spy']",3,0.39290961623191833,1583.4813232421875,0.8761527202080132
192,Standard,5,"['glob_eq_ret20d_std', 'macd_diff_lqd_spy', 'sector_momentum_dispersion', 'rsi_diff_qqq_spy', 'glob_eq_rsi_mean']",3,0.39239728450775146,1391.473388671875,0.9737640818876142
127,Robust,9,"['macd_diff_lqd_spy', 'usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'glob_eq_ret20d_std', 'glob_eq_rsi_mean', 'eq_idx_macd_diff_mean', 'commod_momentum_slope', 'eq_idx_ret5d_mean', 'sector_ma_ratio_spread']",4,0.39235442876815796,1867.9705810546875,1.079702177199071
112,Robust,10,"['commod_trend_strength', 'macd_diff_lqd_spy', 'sector_ma_ratio_spread', 'sector_momentum_dispersion', 'eq_idx_ret5d_mean', 'rsi_diff_qqq_spy', 'eq_idx_macd_diff_mean', 'glob_eq_ret20d_std', 'commod_momentum_slope', 'glob_eq_vol_skew']",4,0.3923094868659973,1553.983154296875,1.0441603910895516
1,Standard,5,"['macd_diff_lqd_spy', 'commod_trend_strength', 'glob_eq_ret20d_std', 'sector_momentum_dispersion', 'rsi_diff_qqq_spy']",4,0.3921334147453308,1771.472412109375,0.9838843746011665
191,Robust,5,"['sector_momentum_dispersion', 'eq_idx_macd_diff_mean', 'eq_idx_ret5d_mean', 'commod_momentum_slope', 'usd_vs_fxe_fxy_trend']",4,0.3920440673828125,1640.9437255859375,1.0518916898461206
74,Standard,9,"['glob_eq_rsi_mean', 'glob_eq_vol_skew', 'sector_momentum_dispersion', 'usd_vs_fxe_fxy_trend', 'macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'commod_trend_strength', 'eq_idx_macd_diff_mean', 'glob_eq_ret20d_std']",4,0.39135658740997314,1433.73193359375,0.8097435045408168
158,Robust,9,"['commod_trend_strength', 'sector_momentum_dispersion', 'glob_eq_rsi_mean', 'glob_eq_ret20d_std', 'eq_idx_ret5d_mean', 'macd_diff_lqd_spy', 'glob_eq_vol_skew', 'sector_ma_ratio_spread', 'rsi_diff_qqq_spy']",3,0.39110156893730164,1536.927001953125,1.0266149092936478
120,Robust,7,"['commod_momentum_slope', 'glob_eq_ret20d_std', 'glob_eq_vol_skew', 'glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'sector_ma_ratio_spread']",4,0.3901081681251526,1536.9237060546875,1.0911731027698863
123,Standard,5,"['sector_momentum_dispersion', 'commod_momentum_slope', 'eq_idx_macd_diff_mean', 'macd_diff_lqd_spy', 'eq_idx_ret5d_mean']",4,0.38980212807655334,1636.093994140625,0.9033606356316104
151,Standard,9,"['glob_eq_rsi_mean', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std', 'macd_diff_lqd_spy', 'commod_trend_strength', 'rsi_diff_qqq_spy', 'commod_momentum_slope', 'eq_idx_ret5d_mean']",4,0.3897450566291809,1318.5738525390625,0.9379254531555841
189,Standard,5,"['glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'commod_momentum_slope', 'sector_momentum_dispersion', 'eq_idx_ret5d_mean']",3,0.3894248306751251,1856.2607421875,1.0726098154111756
76,Robust,6,"['eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std', 'commod_trend_strength', 'rsi_diff_qqq_spy', 'glob_eq_rsi_mean']",4,0.38922855257987976,1324.6595458984375,1.0567877546764508
129,Standard,8,"['macd_diff_lqd_spy', 'eq_idx_macd_diff_mean', 'eq_idx_ret5d_mean', 'glob_eq_ret20d_std', 'sector_momentum_dispersion', 'usd_vs_fxe_fxy_trend', 'commod_momentum_slope', 'rsi_diff_qqq_spy']",4,0.38913097977638245,1406.08056640625,0.954973291060587
79,Standard,5,"['glob_eq_rsi_mean', 'sector_momentum_dispersion', 'glob_eq_ret20d_std', 'commod_trend_strength', 'commod_momentum_slope']",3,0.3890153765678406,1612.014892578125,1.319678129108304
194,Standard,7,"['eq_idx_ret5d_mean', 'sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'sector_momentum_dispersion', 'eq_idx_macd_diff_mean', 'glob_eq_rsi_mean', 'commod_momentum_slope']",3,0.3889005482196808,1523.5811767578125,1.0331980619901573
119,Robust,5,"['commod_trend_strength', 'macd_diff_lqd_spy', 'glob_eq_ret20d_std', 'rsi_diff_qqq_spy', 'sector_momentum_dispersion']",4,0.3884918689727783,1654.3927001953125,0.9501085924642848
170,Standard,7,"['sector_momentum_dispersion', 'usd_vs_fxe_fxy_trend', 'eq_idx_ret5d_mean', 'eq_idx_macd_diff_mean', 'commod_momentum_slope', 'macd_diff_lqd_spy', 'rsi_diff_qqq_spy']",3,0.3884543180465698,1589.2020263671875,0.9292820180231077
