iteration,scaler,n_features,features,n_clusters,silhouette,calinski_harabasz,davies_bouldin
194,Standard,7,"['eq_idx_ret5d_mean', 'sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'sector_momentum_dispersion', 'eq_idx_macd_diff_mean', 'glob_eq_rsi_mean', 'commod_momentum_slope']",4,0.48205918073654175,2452.10693359375,0.7850705195243055
59,Standard,5,"['glob_eq_vol_skew', 'glob_eq_rsi_mean', 'commod_trend_strength', 'usd_vs_fxe_fxy_trend', 'sector_momentum_dispersion']",3,0.48052269220352173,2247.624755859375,0.7266473842269198
85,Standard,5,"['glob_eq_rsi_mean', 'eq_idx_ret5d_mean', 'sector_ma_ratio_spread', 'glob_eq_vol_skew', 'usd_vs_fxe_fxy_trend']",3,0.479814350605011,2163.719482421875,0.76441190919705
54,Standard,6,"['glob_eq_ret20d_std', 'glob_eq_rsi_mean', 'commod_momentum_slope', 'commod_trend_strength', 'macd_diff_lqd_spy', 'eq_idx_macd_diff_mean']",3,0.47776132822036743,2533.465576171875,0.8263536093933416
136,Standard,5,"['glob_eq_rsi_mean', 'glob_eq_ret20d_std', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'sector_ma_ratio_spread']",3,0.4775034785270691,1940.1986083984375,0.8053147871063828
42,Robust,5,"['macd_diff_lqd_spy', 'sector_ma_ratio_spread', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'eq_idx_ret5d_mean']",4,0.4774203598499298,2130.145263671875,0.7874247481161136
143,Standard,7,"['sector_ma_ratio_spread', 'sector_momentum_dispersion', 'commod_trend_strength', 'glob_eq_rsi_mean', 'usd_vs_fxe_fxy_trend', 'eq_idx_ret5d_mean', 'rsi_diff_qqq_spy']",3,0.47603487968444824,2256.041259765625,0.8579688755797042
83,Standard,6,"['eq_idx_macd_diff_mean', 'sector_ma_ratio_spread', 'commod_trend_strength', 'macd_diff_lqd_spy', 'glob_eq_ret20d_std', 'sector_momentum_dispersion']",4,0.4754616320133209,2452.6669921875,0.7713691085172327
64,Standard,9,"['eq_idx_macd_diff_mean', 'commod_trend_strength', 'usd_vs_fxe_fxy_trend', 'sector_momentum_dispersion', 'sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'glob_eq_ret20d_std', 'eq_idx_ret5d_mean', 'commod_momentum_slope']",3,0.4728471636772156,2384.023681640625,0.8601025566335024
141,Standard,7,"['sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'glob_eq_rsi_mean', 'sector_momentum_dispersion', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'glob_eq_vol_skew']",4,0.472843736410141,2899.96044921875,0.8255989411676712
91,Standard,6,"['sector_momentum_dispersion', 'glob_eq_vol_skew', 'usd_vs_fxe_fxy_trend', 'commod_momentum_slope', 'eq_idx_ret5d_mean', 'sector_ma_ratio_spread']",4,0.4725024402141571,2711.593017578125,0.8049689332133151
145,Standard,9,"['commod_trend_strength', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'glob_eq_rsi_mean', 'sector_momentum_dispersion', 'sector_ma_ratio_spread', 'eq_idx_ret5d_mean', 'rsi_diff_qqq_spy', 'macd_diff_lqd_spy']",3,0.4712061882019043,2138.65771484375,0.8012984360552103
98,Standard,7,"['sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'commod_trend_strength', 'eq_idx_ret5d_mean', 'glob_eq_rsi_mean', 'sector_momentum_dispersion', 'rsi_diff_qqq_spy']",4,0.4702530801296234,2182.451171875,0.8261875137268728
191,Standard,5,"['sector_momentum_dispersion', 'eq_idx_macd_diff_mean', 'eq_idx_ret5d_mean', 'commod_momentum_slope', 'usd_vs_fxe_fxy_trend']",3,0.4701162278652191,2445.77490234375,0.8947196439436861
16,Standard,8,"['macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'glob_eq_ret20d_std', 'sector_ma_ratio_spread', 'usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'commod_momentum_slope', 'eq_idx_macd_diff_mean']",3,0.46954360604286194,2303.83349609375,0.8979582016828337
83,Robust,6,"['eq_idx_macd_diff_mean', 'sector_ma_ratio_spread', 'commod_trend_strength', 'macd_diff_lqd_spy', 'glob_eq_ret20d_std', 'sector_momentum_dispersion']",4,0.46775078773498535,1948.7958984375,0.8212061014985896
83,Robust,6,"['eq_idx_macd_diff_mean', 'sector_ma_ratio_spread', 'commod_trend_strength', 'macd_diff_lqd_spy', 'glob_eq_ret20d_std', 'sector_momentum_dispersion']",3,0.4675774574279785,2049.910888671875,0.8398142588395238
193,Standard,5,"['usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'glob_eq_ret20d_std', 'glob_eq_rsi_mean', 'eq_idx_macd_diff_mean']",4,0.46553581953048706,2639.17529296875,0.8285082552219054
139,Standard,7,"['usd_vs_fxe_fxy_trend', 'sector_momentum_dispersion', 'rsi_diff_qqq_spy', 'eq_idx_ret5d_mean', 'sector_ma_ratio_spread', 'commod_trend_strength', 'macd_diff_lqd_spy']",3,0.4652380347251892,2686.377685546875,0.8034752625341474
85,Robust,5,"['glob_eq_rsi_mean', 'eq_idx_ret5d_mean', 'sector_ma_ratio_spread', 'glob_eq_vol_skew', 'usd_vs_fxe_fxy_trend']",3,0.46459048986434937,2119.405029296875,0.832334176243709
73,Standard,8,"['sector_momentum_dispersion', 'sector_ma_ratio_spread', 'glob_eq_vol_skew', 'commod_trend_strength', 'glob_eq_ret20d_std', 'glob_eq_rsi_mean', 'commod_momentum_slope', 'usd_vs_fxe_fxy_trend']",3,0.46457159519195557,2580.029541015625,0.8631412603280032
