scaler,method,k,n_components,n_neighbors,min_dist,metric,bic,aic,silhouette,calinski_harabasz,davies_bouldin
Quantile (uniform),GMM,2,3,8,0.1,correlation,38159.242212582394,38050.0625,0.32889461517333984,1102.2421875,1.3650340688130633
Quantile (uniform),KMeans,2,3,8,0.1,correlation,,,0.33162006735801697,1130.0091552734375,1.3569139358400288
Quantile (uniform),GMM,3,3,8,0.1,correlation,37458.54115670471,37291.8984375,0.3430594801902771,1162.8468017578125,1.0965057081019476
Quantile (uniform),KMeans,3,3,8,0.1,correlation,,,0.3422381281852722,1165.8896484375,1.0882512164743694
Quantile (uniform),GMM,4,3,8,0.1,correlation,36454.01978832702,36229.9140625,0.37996408343315125,1313.7056884765625,1.016567586858844
Quantile (uniform),KMeans,4,3,8,0.1,correlation,,,0.410745769739151,1525.6785888671875,0.9027125437645712
Quantile (uniform),GMM,5,3,8,0.1,correlation,36183.86170119934,35902.29296875,0.4046984314918518,1502.2532958984375,0.8428837175405006
Quantile (uniform),KMeans,5,3,8,0.1,correlation,,,0.4108332395553589,1563.969970703125,0.9016558341939662
Quantile (uniform),GMM,6,3,8,0.1,correlation,35918.98486407165,35579.953125,0.383884996175766,1359.8824462890625,0.8888648430501928
Quantile (uniform),KMeans,6,3,8,0.1,correlation,,,0.3844974637031555,1412.43115234375,0.9217025695383031
Quantile (uniform),GMM,7,3,8,0.1,correlation,35006.51427694397,34610.01953125,0.4240057170391083,1525.34130859375,0.8788133297743065
Quantile (uniform),KMeans,7,3,8,0.1,correlation,,,0.42435386776924133,1524.6092529296875,0.8078619616897739
Quantile (uniform),GMM,2,3,8,0.1,euclidean,38347.546900082394,38238.3671875,0.33910757303237915,1264.84130859375,1.2079977429055038
Quantile (uniform),KMeans,2,3,8,0.1,euclidean,,,0.35355299711227417,1394.3358154296875,1.1913080621588346
Quantile (uniform),GMM,3,3,8,0.1,euclidean,37131.97865670471,36965.3359375,0.32235532999038696,1031.3046875,1.1680695874022102
Quantile (uniform),KMeans,3,3,8,0.1,euclidean,,,0.3383120596408844,1180.867919921875,1.127521392324348
Quantile (uniform),GMM,4,3,8,0.1,euclidean,36520.90650707702,36296.80078125,0.4015651047229767,1610.499755859375,0.9371278894896862
Quantile (uniform),KMeans,4,3,8,0.1,euclidean,,,0.4113143980503082,1709.10791015625,0.9135208387309608
Quantile (uniform),GMM,5,3,8,0.1,euclidean,36137.12732619934,35855.55859375,0.3820035457611084,1482.0374755859375,1.01791747365827
Quantile (uniform),KMeans,5,3,8,0.1,euclidean,,,0.40176716446876526,1609.3712158203125,0.9498372429007655
Quantile (uniform),GMM,6,3,8,0.1,euclidean,35020.33642657165,34681.3046875,0.36877089738845825,1364.252685546875,1.0598596991757503
Quantile (uniform),KMeans,6,3,8,0.1,euclidean,,,0.41409793496131897,1640.4190673828125,0.9604366908156451
Quantile (uniform),GMM,7,3,8,0.1,euclidean,34682.71740194397,34286.22265625,0.34658685326576233,1133.1312255859375,1.0405898229006827
Quantile (uniform),KMeans,7,3,8,0.1,euclidean,,,0.40098169445991516,1414.9095458984375,0.9620254947354255
Quantile (uniform),GMM,2,3,8,0.2,correlation,37863.343775082394,37754.1640625,0.27206024527549744,820.2835693359375,1.4970605380074828
Quantile (uniform),KMeans,2,3,8,0.2,correlation,,,0.29212433099746704,962.9303588867188,1.4169858595686113
Quantile (uniform),GMM,3,3,8,0.2,correlation,37022.01771920471,36855.375,0.3120681345462799,1016.08154296875,1.126727174683622
Quantile (uniform),KMeans,3,3,8,0.2,correlation,,,0.3369602560997009,1170.23193359375,1.1058559699945187
Quantile (uniform),GMM,4,3,8,0.2,correlation,36553.76978832702,36329.6640625,0.3772578239440918,1318.5062255859375,0.9720344889160322
Quantile (uniform),KMeans,4,3,8,0.2,correlation,,,0.3813406825065613,1356.955078125,0.9492505917444278
Quantile (uniform),GMM,5,3,8,0.2,correlation,35671.11560744934,35389.546875,0.31916093826293945,1007.8712158203125,1.2945617644949787
Quantile (uniform),KMeans,5,3,8,0.2,correlation,,,0.3863663673400879,1360.32421875,0.9724927726763489
Quantile (uniform),GMM,6,3,8,0.2,correlation,35569.95752032165,35230.92578125,0.37579506635665894,1206.0228271484375,1.0208131097079194
Quantile (uniform),KMeans,6,3,8,0.2,correlation,,,0.40981683135032654,1472.37744140625,0.8717333616684274
Quantile (uniform),GMM,7,3,8,0.2,correlation,35038.22912069397,34641.734375,0.37152913212776184,1224.411865234375,1.0871477603548214
Quantile (uniform),KMeans,7,3,8,0.2,correlation,,,0.401327908039093,1480.0511474609375,0.9329351696437895
Quantile (uniform),GMM,2,3,8,0.2,euclidean,37722.632837582394,37613.453125,0.3487722873687744,1296.784912109375,1.2349972052870568
Quantile (uniform),KMeans,2,3,8,0.2,euclidean,,,0.35377606749534607,1370.9517822265625,1.2079069416884765
Quantile (uniform),GMM,3,3,8,0.2,euclidean,37190.04115670471,37023.3984375,0.31862980127334595,1083.2935791015625,1.1682102086428285
Quantile (uniform),KMeans,3,3,8,0.2,euclidean,,,0.3276432156562805,1118.0003662109375,1.127553805539197
Quantile (uniform),GMM,4,3,8,0.2,euclidean,36529.38306957702,36305.27734375,0.37363511323928833,1443.7513427734375,1.0194410678082346
Quantile (uniform),KMeans,4,3,8,0.2,euclidean,,,0.4058583974838257,1638.5518798828125,0.9406353831546854
Quantile (uniform),GMM,5,3,8,0.2,euclidean,36110.24060744934,35828.671875,0.3757483661174774,1373.110595703125,1.0972715518450495
Quantile (uniform),KMeans,5,3,8,0.2,euclidean,,,0.3999592363834381,1537.0302734375,0.9868040812540846
Quantile (uniform),GMM,6,3,8,0.2,euclidean,35829.14892657165,35490.1171875,0.3535710573196411,1285.9930419921875,0.9692321765323352
Quantile (uniform),KMeans,6,3,8,0.2,euclidean,,,0.383823424577713,1429.2235107421875,0.9218569527900272
Quantile (uniform),GMM,7,3,8,0.2,euclidean,34717.14318319397,34320.6484375,0.3020096719264984,981.4107055664062,1.451927361233312
Quantile (uniform),KMeans,7,3,8,0.2,euclidean,,,0.3918757736682892,1520.1131591796875,0.9208503170930106
Quantile (uniform),GMM,2,3,15,0.01,correlation,31483.005884457398,31373.826171875,0.4364143908023834,2234.056640625,0.935617302573275
Quantile (uniform),KMeans,2,3,15,0.01,correlation,,,0.45294830203056335,2482.109375,0.9072687760591951
Quantile (uniform),GMM,3,3,15,0.01,correlation,31290.556781704712,31123.9140625,0.35162535309791565,1968.0145263671875,1.0439942432277831
Quantile (uniform),KMeans,3,3,15,0.01,correlation,,,0.360995888710022,2023.2947998046875,1.0495516696130838
Quantile (uniform),GMM,4,3,15,0.01,correlation,29776.963147702027,29552.857421875,0.4245538115501404,2461.86376953125,0.8153222201885315
Quantile (uniform),KMeans,4,3,15,0.01,correlation,,,0.43086859583854675,2533.3251953125,0.850024538566442
Quantile (uniform),GMM,5,3,15,0.01,correlation,28793.01013869934,28511.44140625,0.3702827990055084,1903.2998046875,1.2460699427101036
