,features,metric_umap,n_neig_umap,min_d_umap,silhouette,calinski_harabasz,davies_bouldin,cluster_distribution
22,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",manhattan,40,0.1,0.3505655825138092,130.77528381347656,0.587958830174093,"(np.float64(0.9513888888888888), np.float64(0.04861111111111111))"
23,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",correlation,40,0.1,0.3640459477901459,548.1107788085938,1.1861137668187243,"(np.float64(0.41087962962962965), np.float64(0.5891203703703703))"
24,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",euclidean,40,0.2,0.29839253425598145,116.09033966064453,0.6445355989451802,"(np.float64(0.9513888888888888), np.float64(0.04861111111111111))"
25,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",manhattan,40,0.2,0.3131176233291626,118.62600708007812,0.6407682716533475,"(np.float64(0.9513888888888888), np.float64(0.04861111111111111))"
26,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",correlation,40,0.2,0.3288726806640625,482.55218505859375,1.2985851056982547,"(np.float64(0.5127314814814815), np.float64(0.48726851851851855))"
27,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",euclidean,10,0.01,0.33013856410980225,143.55667114257812,1.3230628528144484,"(np.float64(0.8888888888888888), np.float64(0.1111111111111111))"
28,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",manhattan,10,0.01,0.38213488459587097,71.88292694091797,1.7879213616168135,"(np.float64(0.9421296296296297), np.float64(0.05787037037037037))"
29,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",correlation,10,0.01,0.48027583956718445,895.3944091796875,0.8366598271087053,"(np.float64(0.6458333333333334), np.float64(0.3541666666666667))"
30,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",euclidean,10,0.1,0.4217918813228607,366.20025634765625,0.9278453537550786,"(np.float64(0.8518518518518519), np.float64(0.14814814814814814))"
31,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",manhattan,10,0.1,0.32480427622795105,52.31040573120117,0.5367713632137532,"(np.float64(0.9780092592592593), np.float64(0.02199074074074074))"
32,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",correlation,10,0.1,0.4587211608886719,793.5697021484375,0.9079219965191285,"(np.float64(0.6458333333333334), np.float64(0.3541666666666667))"
33,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",euclidean,10,0.2,0.3200921416282654,63.33781051635742,0.5346093625657833,"(np.float64(0.9780092592592593), np.float64(0.02199074074074074))"
34,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",manhattan,10,0.2,0.33703312277793884,59.01191329956055,0.5299650812605098,"(np.float64(0.9780092592592593), np.float64(0.02199074074074074))"
35,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",correlation,10,0.2,0.43823662400245667,785.6153564453125,0.9245875398015156,"(np.float64(0.6458333333333334), np.float64(0.3541666666666667))"
36,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",euclidean,20,0.01,0.1960526555776596,48.47217559814453,0.7556235418150651,"(np.float64(0.9675925925925926), np.float64(0.032407407407407406))"
37,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",manhattan,20,0.01,0.4734070301055908,119.06143951416016,0.390634090339295,"(np.float64(0.9768518518518519), np.float64(0.023148148148148147))"
38,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",correlation,20,0.01,0.5466267466545105,1346.6922607421875,0.6977657700546221,"(np.float64(0.6388888888888888), np.float64(0.3611111111111111))"
39,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",euclidean,20,0.1,0.5150316953659058,134.3609161376953,0.3822954188017077,"(np.float64(0.9768518518518519), np.float64(0.023148148148148147))"
40,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",manhattan,20,0.1,0.4717077910900116,124.38068389892578,0.38740255135454366,"(np.float64(0.9768518518518519), np.float64(0.023148148148148147))"
41,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",correlation,20,0.1,0.47654762864112854,952.4369506835938,0.8707909897486503,"(np.float64(0.6076388888888888), np.float64(0.3923611111111111))"
42,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",euclidean,20,0.2,0.4895994961261749,134.10989379882812,0.3844429945092278,"(np.float64(0.9768518518518519), np.float64(0.023148148148148147))"
43,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",manhattan,20,0.2,0.44247475266456604,110.3174819946289,0.41964114817358134,"(np.float64(0.9768518518518519), np.float64(0.023148148148148147))"
44,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",correlation,20,0.2,0.40919196605682373,719.3850708007812,1.0314688092935407,"(np.float64(0.5844907407407407), np.float64(0.41550925925925924))"
45,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",euclidean,40,0.01,0.4455517530441284,772.9622802734375,0.8737027109610036,"(np.float64(0.3148148148148148), np.float64(0.6851851851851852))"
46,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",manhattan,40,0.01,0.4286257326602936,744.7491455078125,0.8859100924962725,"(np.float64(0.30324074074074076), np.float64(0.6967592592592593))"
47,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",correlation,40,0.01,0.5095077753067017,1174.9371337890625,0.8243138847952161,"(np.float64(0.5324074074074074), np.float64(0.4675925925925926))"
48,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",euclidean,40,0.1,0.4197717010974884,712.0843505859375,0.9222460111620534,"(np.float64(0.31828703703703703), np.float64(0.6817129629629629))"
49,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",manhattan,40,0.1,0.4094843566417694,706.0873413085938,0.9307060877694479,"(np.float64(0.3148148148148148), np.float64(0.6851851851851852))"
50,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",correlation,40,0.1,0.48022976517677307,1022.2152709960938,0.8652537091024239,"(np.float64(0.5740740740740741), np.float64(0.42592592592592593))"
51,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",euclidean,40,0.2,0.4084906280040741,698.7125854492188,0.9396373680851536,"(np.float64(0.3159722222222222), np.float64(0.6840277777777778))"
52,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",manhattan,40,0.2,0.39808914065361023,684.3595581054688,0.960501952853925,"(np.float64(0.6782407407407407), np.float64(0.32175925925925924))"
53,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'vol_asymmetry']",correlation,40,0.2,0.4309968650341034,801.6736450195312,0.9625074854710192,"(np.float64(0.6064814814814815), np.float64(0.39351851851851855))"
